Column1,properties,embedding
386,"Partition_energy_(Guy,_1985)",10.169598
387,"Hydration_number_(Hopfinger,_1971),_Cited_by_Charton-Charton_(1983)",10.34366
388,"Heat_capacity_(Hutchens,_1971)",10.509674
389,"Absolute_entropy_(Hutchens,_1971)",10.5553
390,"Flexibility_parameter_for_two_rigid_neighbors_(Karplus-Schulz,_1985)",10.563815
391,bu -,10.582545
392,Average Accessible surface area,10.587098
393,"Net_charge_(Klein_et_al.,_1984)",10.600343
394,The residue singlet interface propensities  in a logarithm (log2) scale,11.029699
395,Hydrophilicity scale,11.043339
396,Polarity.2,11.091697
397,Isoelectric point.1,11.116243
398,C.1,11.445317
399,U.1,11.459508
400,A.1,11.555427
401,Invalids-%Site,11.6096945
402,Small molecule invalid ligand binding propensity,11.62137
403,Invalids-%Site.1,11.658301
404,"Spin-spin_coupling_constants_3JHalpha-NH_(Bundi-Wuthrich,_1979)",11.673462
405,Valids-%Site,11.676151
406,Contribute >= 2 kcal/mol (Number),11.717851
407,Small molecule valid ligand binding propensity,11.806511
408,Valids-%Site.1,11.891656
409,¦Â-ex,11.917768
410,"Optimized_side_chain_interaction_parameter_(Oobatake_et_al.,_1985)",11.985485
411,Composition of FPs: B (%),12.031966
412,"Side_chain_interaction_parameter_(Krigbaum-Komoriya,_1979)",12.099636
413,"Side_chain_interaction_parameter_(Krigbaum-Rubin,_1971)",12.103293
414,"AA_composition_of_CYT_of_multi-spanning_proteins_(Nakashima-Nishikawa,_1992)",12.103984
415,"Solvation_free_energy_(Eisenberg-McLachlan,_1987)",12.214565
416,"Amino_acid_composition_(Dayhoff_et_al.,_1979a)",12.27378
417,In database (%),12.273865
418,Composition of amino acids in intracellular proteins (percent),12.3242235
419,Average_membrane_preference:_AMP08,12.331038
420,"Membrane_preference_for_cytochrome_b:_MPH89_(Degli_Esposti_et_al.,_1991)",12.369702
421,"Hydrophobic_parameter_pi_(Fauchere-Pliska,_1984)",12.376544
422,Occurrence in proteins (%),12.445799
423,Composition of Non-BLP: B (%),12.510977
424,"Normalized_frequency_of_C-terminal_non_beta_region_(Chou-Fasman,_1979b)",12.515311
425,% [15],12.527148
426,"Normalized_frequency_of_turn_(Crawford_et_al.,_1974)",12.533564
427,"Normalized_frequency_of_N-terminal_non_beta_region_(Chou-Fasman,_1979b)",12.585628
428,Composition of luciferases: A (%) ,12.588949
429,"AA_composition_of_total_proteins_(Nakashima_et_al.,_1990)",12.604538
430,"Optical_rotation_(Fasman,_1977)",12.610619
431,Composition of amino acids in anchored proteins (percent),12.620127
432,"pK-N_(Fasman,_1977)",12.651645
433,To,12.682933
434,"AA_composition_of_EXT_of_single-spanning_proteins_(Nakashima-Nishikawa,_1992)",12.704441
435,"Normalized_frequency_of_N-terminal_beta-sheet_(Chou-Fasman,_1979b)",12.720781
436,"Consensus_normalized_hydrophobicity_scale_(Eisenberg,_1985)",12.724813
437,"Normalized_frequency_of_C-terminal_beta-sheet_(Chou-Fasman,_1979b)",12.7813635
438,"pK-C_(Fasman,_1977)",12.810405
439,"AA_composition_of_EXT_of_multi-spanning_proteins_(Nakashima-Nishikawa,_1992)",12.963712
440,Composition of BLP: A (%),13.013491
441,"Amino_acid_composition_(Dayhoff_et_al.,_1978a)",13.033956
442,Compositional frequency (Dayhoff et al. (1978)),13.037126
443,"AA_composition_of_EXT2_of_single-spanning_proteins_(Nakashima-Nishikawa,_1992)",13.042656
444,"% [13,14]",13.054539
445,Composition of amino acids in extracellular proteins (percent),13.069657
446,"Normalized_frequency_of_beta-sheet_(Crawford_et_al.,_1974)",13.104766
447,Composition of BLPs (%),13.253061
448,Composition of membrane (%).1,13.476002
449,"Size_(Dawson,_1973)",13.487094
450,Composition of membrane (%),13.5103245
451,Composition of amino acids in membrane proteins (percent),13.557325
452,"AA_composition_of_membrane_proteins_(Nakashima_et_al.,_1990)",13.591242
453,"Molecular_weight_(Fasman,_1977)",13.635164
454,"AA_composition_of_mt-proteins_from_fungi_and_plant_(Nakashima_et_al.,_1990)",13.828122
455,"Direction_of_hydrophobic_moment_(Eisenberg-McLachlan,_1987)",13.832688
456,"AA_composition_of_mt-proteins_from_animal_(Nakashima_et_al.,_1990)",13.866931
457,"AA_composition_of_mt-proteins_(Nakashima_et_al.,_1990)",13.87059
458,"Melting_point_(Fasman,_1977)",13.90742
459,"Atom-based_hydrophobic_moment_(Eisenberg-McLachlan,_1987)",13.911528
460,"Transmembrane_regions_of_mt-proteins_(Nakashima_et_al.,_1990)",13.945217
461,"Transmembrane_regions_of_non-mt-proteins_(Nakashima_et_al.,_1990)",13.960494
462,"AA_composition_of_MEM_of_single-spanning_proteins_(Nakashima-Nishikawa,_1992)",13.973057
463,"AA_composition_of_MEM_of_multi-spanning_proteins_(Nakashima-Nishikawa,_1992)",13.9985485
464,EV4,14.377124
465,"Number_of_hydrogen_bond_donors_(Fauchere_et_al.,_1988)",14.3978815
466,"Atom-based_hydrophobic_moment_(Eisenberg-McLachlan,_1986)",14.425369
467,"Average_relative_fractional_occurrence_in_AL(i)_(Rackovsky-Scheraga,_1982)",14.694366
468,"Number_of_full_nonbonding_orbitals_(Fauchere_et_al.,_1989)",14.740488
469,"Average_reduced_distance_for_side_chain_(Rackovsky-Scheraga,_1977)",14.773014
470,"Side_chain_orientational_preference_(Rackovsky-Scheraga,_1977)",14.782178
471,pb +,14.827801
472,"Average_reduced_distance_for_side_chain_(Meirovitch_et_al.,_1980)",14.841911
473,"Flexibility_parameter_for_one_rigid_neighbor_(Karplus-Schulz,_1985)",14.856195
474,"Flexibility_parameter_for_no_rigid_neighbors_(Karplus-Schulz,_1985)",14.8665695
475,"Average_volume_of_buried_residue_(Chothia,_1976)",14.907084
476,"A_parameter_of_charge_transfer_capability_(Charton-Charton,_1984)",14.910412
477,"Average_reduced_distance_for_C-alpha_(Meirovitch_et_al.,_1980)",14.924248
478,"Information_value_for_accessibility;_average_fraction_23%_(Biou_et_al.,_1989)",14.924383
479,¦Â,14.963183
480,"The_number_of_atoms_in_the_side_chain_labelled_1+1_(Charton-Charton,_1984)",15.015679
481,"Normalized_frequency_of_turn_in_all-beta_class_(Palau_et_al.,_1981)",15.047355
482,"Proportion_of_residues_100%_buried_(Chothia,_1977)",15.05752
483,"Retention_coefficient_in_TFA_(Browne_et_al.,_1983)",15.222234
484,"Alpha-helix_indices_(Geisow-Roberts,_1981)",15.259741
485,P_2 (exposed surfaces),15.330712
486,"Beta-strand_indices_for_beta-proteins_(Geisow-Roberts,_1981)",15.360356
487,B ( [conservation propensities on P_1]/[propensity on P_1] ),15.382008
488,"Normalized_frequency_of_C-terminal_non_beta_region_(Chou-Fasman,_1978b)",15.390225
489,"Normalized_frequency_of_alpha_region_(Maxfield-Scheraga,_1976)",15.594425
490,"Normalized_frequency_of_turn_from_LG_(Palau_et_al.,_1981)",15.621574
491,"Normalized_relative_frequency_of_bend_(Isogai_et_al.,_1980)",15.6941185
492,"Normalized_frequency_of_turn_in_alpha/beta_class_(Palau_et_al.,_1981)",15.729422
493,"Normalized_frequency_of_reverse_turn,_with_weights_(Levitt,_1978)",15.732486
494,"Normalized_relative_frequency_of_helix_end_(Isogai_et_al.,_1980)",15.748051
495,"Relative_frequency_in_reverse-turn_(Prabhakaran,_1990)",15.750081
496,"Normalized_frequency_of_beta-turn_(Chou-Fasman,_1978b)",15.774212
497,"Normalized_frequency_of_turn_in_all-alpha_class_(Palau_et_al.,_1981)",15.774728
498,"Information_measure_for_middle_turn_(Robson-Suzuki,_1976)",15.888071
499,"Information_measure_for_loop_(Robson-Suzuki,_1976)",15.888746
500,"Aperiodic_indices_for_alpha-proteins_(Geisow-Roberts,_1980)",15.917214
501,"Aperiodic_indices_(Geisow-Roberts,_1980)",15.977726
502,"Normalized_frequency_of_the_2nd_and_3rd_residues_in_turn_(Chou-Fasman,_1978b)",15.986803
503,"Information_measure_for_turn_(Robson-Suzuki,_1976)",16.005667
504,"Information_measure_for_N-terminal_turn_(Robson-Suzuki,_1976)",16.025179
505,"Aperiodic_indices_for_alpha/beta-proteins_(Geisow-Roberts,_1980)",16.094402
506,"Normalized_frequency_of_reverse_turn,_unweighted_(Levitt,_1978)",16.13841
507,Li,16.176262
508,"Information_measure_for_coil_(Robson-Suzuki,_1976)",16.183079
509,"Retention_coefficient_in_HFBA_(Browne_et_al.,_1983)",16.280813
510,"Normalized_relative_frequency_of_bend_R_(Isogai_et_al.,_1980)",16.281292
511,"Information_measure_for_N-terminal_helix_(Robson-Suzuki,_1976)",16.353203
512,"Normalized_frequency_of_N-terminal_helix_(Chou-Fasman,_1978b)",16.365631
513,"The_number_of_bonds_in_the_longest_chain_(Charton-Charton,_1984)",16.452278
514,¦Â-¦µ-¦·,16.464916
515,"Normalized_frequency_of_beta-turn_(Chou-Fasman,_1979a)",16.466455
516,"Normalized_frequency_of_chain_reversal_R_(Tanaka-Scheraga,_1977)",16.469194
517,"Relative_preference_value_at_N1_(Richardson-Richardson,_1988)",16.480593
518,"Weights_for_coil_at_the_window_position_of_1_(Qian-Sejnowski,_1988)",16.488813
519,"Transfer_free_energy,_CHP/water_(Lawson_et_al.,_1984)",16.52014
520,"The_number_of_atoms_in_the_side_chain_labelled_2+1_(Charton-Charton,_1984)",16.82356
521,"Information_value_for_accessibility;_average_fraction_35%_(Biou_et_al.,_1989)",16.830137
522,"Normalized_frequency_of_isolated_helix_(Tanaka-Scheraga,_1977)",16.89766
523,"Relative_preference_value_at_C'_(Richardson-Richardson,_1988)",17.093939
524,"Average_flexibility_indices_(Bhaskaran-Ponnuswamy,_1989)",17.116915
525,"Residue_volume_(Bigelow,_1968)",17.232933
526,"Normalized_frequency_of_C-terminal_non_helical_region_(Chou-Fasman,_1978b)",17.265387
527,"Normalized_frequency_of_N-terminal_helix_(Chou-Fasman,_1979b)",17.285088
528,Rc,17.305683
529,pb ¦Ð,17.321299
530,To ¦Ð,17.335497
531,bu ¦Ð,17.349916
532,"Normalized_frequency_of_N-terminal_non_helical_region_(Chou-Fasman,_1978b)",17.384104
533,"Aperiodic_indices_(Geisow-Roberts,_1981)",17.625536
534,RNA functional category-vRNA,17.670233
535,"Positive_charge_(Fauchere_et_al.,_1988)",17.675652
536,pb -,17.681768
537,To -,17.690966
538,"Normalized_frequency_of_middle_helix_(Crawford_et_al.,_1974)",17.69347
539,"The_Chou-Fasman_parameter_of_the_coil_conformation_(Charton-Charton,_1984)",17.843876
540,"Polarity_(Grantham,_1975)",17.945509
541,To +,18.031092
542,"A_parameter_of_charge_transfer_capability_(Charton-Charton,_1983)",18.035194
543,"Normalized_frequency_of_coil_(Tanaka-Scheraga,_1977)",18.10509
544,"Relative_preference_value_at_N-cap_(Richardson-Richardson,_1988)",18.328232
545,"Normalized_frequency_of_zeta_L_(Maxfield-Scheraga,_1976)",18.362917
546,"Normalized_frequency_of_left-handed_helix_(Tanaka-Scheraga,_1977)",18.373014
547,"Average_relative_fractional_occurrence_in_ER(i)_(Rackovsky-Scheraga,_1982)",18.374502
548,"Relative_preference_value_at_C-cap_(Richardson-Richardson,_1988)",18.410416
549,"Normalized_relative_frequency_of_bend_S_(Isogai_et_al.,_1980)",18.426464
550,"Normalized_relative_frequency_of_coil_(Isogai_et_al.,_1980)",18.42711
551,"Average_relative_fractional_occurrence_in_AL(i-1)_(Rackovsky-Scheraga,_1982)",18.444317
552,"Normalized_frequency_of_left-handed_alpha-helix_(Maxfield-Scheraga,_1976)",18.518959
553,"Normalized_van_der_Waals_volume_(Fauchere_et_al.,_1988)",20.158703
554,"Accessibility_reduction_ratio_(Ponnuswamy_et_al.,_1980)",20.16191
555,"Aperiodic_indices_for_beta-proteins_(Geisow-Roberts,_1981)",20.179327
556,"The_number_of_bonds_in_the_longest_chain_(Charton-Charton,_1983)",20.186762
557,"Aperiodic_indices_for_alpha-proteins_(Geisow-Roberts,_1981)",20.200521
558,"Distance_between_C-alpha_and_centroid_of_side_chain_(Levitt,_1976)",20.441422
559,"Effective_partition_energy_(Miyazawa-Jernigan,_1985)",20.531706
560,"Graph_shape_index_(Fauchere_et_al.,_1988)",20.551058
561,"?, D",20.621078
562,"Localized_electrical_effect_(Fauchere_et_al.,_1989)",20.622498
563,"Average_gain_ratio_in_surrounding_hydrophobicity_(Ponnuswamy_et_al.,_1980)",20.654428
564,"pK-C_(Fasman,_1976)",20.67828
565,"pK_(-COOH)_(Jones,_1975)",20.704708
566,pKa (the negative of the logarithm of the dissociation constant for the -COOH group),20.716047
567,"SD_of_AA_composition_of_total_proteins_(Nakashima_et_al.,_1990)",20.756565
568,pK1 (COOH),20.768307
569,"Amino_acid_distribution_(Jukes_et_al.,_1975)",20.80278
570,Compositional frequency (Jukes et al. (1975)),20.837667
571,Diff (V - I)-Contacts per-Res.1,21.111319
572,Diff (V - I)-Contacts per-Res,21.184155
573,"Alpha-helix_indices_for_alpha-proteins_(Geisow-Roberts,_1981)",22.037132
574,"Alpha-helix_indices_for_beta-proteins_(Geisow-Roberts,_1981)",22.044683
575,"Average_relative_fractional_occurrence_in_A0(i)_(Rackovsky-Scheraga,_1982)",22.05219
576,"Partition_coefficient_(Garel_et_al.,_1974)",22.05488
577,"Beta-strand_indices_(Geisow-Roberts,_1981)",22.071018
578,"Beta-strand_indices_for_alpha/beta-proteins_(Geisow-Roberts,_1981)",22.081202
579,"Relative_preference_value_at_C3_(Richardson-Richardson,_1988)",22.135048
580,"Free_energy_of_solution_in_water,_kcal/mole_(Charton-Charton,_1983)",22.200012
581,Composition in nuclear proteins,23.838453
582,"AA_composition_of_CYT2_of_single-spanning_proteins_(Nakashima-Nishikawa,_1992)",23.8541
583,"Relative_mutability_(Dayhoff_et_al.,_1979b)",23.854427
584,Composition of nuclear (%),23.854599
585,Composition of amino acids in nuclear proteins (percent),23.857176
586,"AA_composition_of_CYT_of_single-spanning_proteins_(Nakashima-Nishikawa,_1992)",23.85876
587,Valids-Contacts per-Atom,28.4299
588,"Partial_specific_volume_(Cohn-Edsall,_1944)",28.432207
589,Composition difference: A-B (%),28.441143
590,"Volume_(Grantham,_1975)",28.441505
591,"Entropy_of_formation_(Hutchens,_1971)",29.241362
592,"Energy_transfer_from_out_to_in(95%buried)_(Radzicka-Wolfenden,_1988)",29.256474
593,Transfer free energy,29.290253
594,"Consensus_normalized_hydrophobicity_scale_(Eisenberg,_1984)",29.33015
595,"Transfer_free_energy_(Janin,_1979)",29.346588
596,"van_der_Waals_parameter_epsilon_(Levitt,_1976)",29.545198
597,van der Waals Parameter Epsilon,29.592037
598,Hydrogen Bond Donors,29.611473
599,van der Waals Parameter R0,29.630188
600,"alpha-CH_chemical_shifts_(Bundi-Wuthrich,_1980)",29.880033
601,Steric,29.955837
602,"Conformational_parameter_of_inner_helix_(Beghin-Dirkx,_1975)",30.041958
603,"Negative_charge_(Fauchere_et_al.,_1988)",30.389029
604,bu +,30.419046
605,Linker propensity index,30.493614
606,"Principal_component_I_(Sneath,_1966)",30.497965
607,"Mean_fractional_area_loss_(Rose_et_al.,_1985)",30.50709
608,"Weights_for_coil_at_the_window_position_of_-2_(Qian-Sejnowski,_1988)",30.562065
609,"Localized_electrical_effect_(Fauchere_et_al.,_1988)",30.563427
610,"Free_energy_change_of_epsilon(i)_to_epsilon(ex)_(Wertz-Scheraga,_1978)",30.596928
611,"Average_relative_probability_of_helix_(Kanehisa-Tsong,_1981)",30.620892
612,"Hydrophobicity_index_(Argos_et_al.,_1983)",30.685255
613,Ee,30.729801
614,"Helix_termination_parameter_at_posision_j-2,j-1,j_(Finkelstein_et_al.,_1992)",30.73023
615,"Frequency_of_the_2nd_residue_in_turn_(Chou-Fasman,_1978b)",30.733496
616,"Weights_for_coil_at_the_window_position_of_5_(Qian-Sejnowski,_1988)",30.73969
617,"Weights_for_coil_at_the_window_position_of_-4_(Qian-Sejnowski,_1988)",30.762255
618,"Conformational_parameter_of_beta-turn_(Beghin-Dirkx,_1975)",30.793211
619,"Partial_specific_volume_(Cohn-Edsall,_1943)",30.80182
620,"Normalized_frequency_of_alpha-helix_(Burgess_et_al.,_1974)",30.831747
621,"Sequence_frequency_(Jungck,_1979)",30.837526
622,"Transfer_free_energy_(Janin,_1980)",30.849825
623,"Normalized_frequency_of_C-terminal_non_helical_region_(Chou-Fasman,_1979b)",30.852863
624,"Frequency_of_occurrence_in_beta-bends_(Lewis_et_al.,_1971)",30.866228
625,"Intercept_in_regression_analysis_(Prabhakaran-Ponnuswamy,_1982)",30.897644
626,"Weights_for_beta-sheet_at_the_window_position_of_3_(Qian-Sejnowski,_1988)",30.900349
627,"Direction_of_hydrophobic_moment_(Eisenberg-McLachlan,_1986)",30.938423
628,EV6,30.941711
629,He.1,30.945984
630,KDe,30.955597
631,"Frequency_of_the_3rd_residue_in_turn_(Chou-Fasman,_1978b)",30.97144
632,P-value (NCR/CCR),30.98608
633,"pK-a(RCOOH)_(Fauchere_et_al.,_1989)",30.99341
634,EV1,31.00074
635,"Normalized_frequency_of_extended_structure_(Burgess_et_al.,_1974)",31.006264
636,Accessible,31.03463
637,"Weights_for_coil_at_the_window_position_of_4_(Qian-Sejnowski,_1988)",31.034971
638,"Residue_accessible_surface_area_in_tripeptide_(Chothia,_1977)",31.050873
639,"Helix_termination_parameter_at_posision_j+1_(Finkelstein_et_al.,_1992)",31.064175
640,Angle,31.069613
641,"P6,7 (NH)",31.071325
642,P-value (NCR/CRS),31.082457
643,q (C3),31.089378
644,"Weights_for_alpha-helix_at_the_window_position_of_-1_(Qian-Sejnowski,_1988)",31.092392
645,EV3,31.093184
646,Frequency,31.098394
647,"pK_(-COOH)_(Jones,_1976)",31.11896
648,"Relative_frequency_of_occurrence_(Jones_et_al.,_1993)",31.128748
649,Donors,31.139526
650,P-value (CRS/CCR),31.141127
651,Hydrophilicity,31.14371
652,"Weights_for_beta-sheet_at_the_window_position_of_-6_(Qian-Sejnowski,_1988)",31.155722
653,Polarity,31.1639
654,Fraction of surface,31.163965
655,q (O2),31.163992
656,Hydrophobicity,31.166086
657,"Smoothed_upsilon_steric_parameter_(Fauchere_et_al.,_1988)",31.18842
658,"Relative_population_of_conformational_state_A_(Vasquez_et_al.,_1983)",31.19229
659,"Weights_for_beta-sheet_at_the_window_position_of_2_(Qian-Sejnowski,_1988)",31.203972
660,"Principal_component_IV_(Sneath,_1966)",31.210499
661,"A_parameter_defined_from_the_residuals_obtained_from_the_best_correlation_of_the_Chou-Fasman_parameter_of_beta-sheet_(Charton-Charton,_1983)",31.21575
662,"Normalized_frequency_of_beta-turn_(Chou-Fasman,_1979b)",31.230515
663,"Weights_for_coil_at_the_window_position_of_-3_(Qian-Sejnowski,_1988)",31.238308
664,"Weights_for_alpha-helix_at_the_window_position_of_-3_(Qian-Sejnowski,_1988)",31.246365
665,EV2,31.253845
666,"Weights_for_alpha-helix_at_the_window_position_of_-2_(Qian-Sejnowski,_1988)",31.261518
667,"Weights_for_coil_at_the_window_position_of_-5_(Qian-Sejnowski,_1988)",31.26216
668,"Weights_for_alpha-helix_at_the_window_position_of_-5_(Qian-Sejnowski,_1988)",31.279617
669,"Apparent_partial_specific_volume_(Bull-Breese,_1974)",31.288607
670,"Helix_initiation_parameter_at_posision_i-1_(Finkelstein_et_al.,_1992)",31.294258
671,EV5,31.328598
672,Ce.1,31.33575
673,R0,31.345121
674,"Proportion_of_residues_95%_buried_(Chothia,_1976)",31.347658
675,"Hydrophobicity_(Jones,_1976)",31.350409
676,"Weights_for_beta-sheet_at_the_window_position_of_4_(Qian-Sejnowski,_1988)",31.351181
677,"Relative_frequency_of_occurrence_(Jones_et_al.,_1992)",31.356964
678,"STERIMOL_length_of_the_side_chain_(Fauchere_et_al.,_1989)",31.362494
679,Epsilon,31.376287
680,Ee.1,31.387491
681,"Weights_for_beta-sheet_at_the_window_position_of_5_(Qian-Sejnowski,_1988)",31.405554
682,Linker index,31.421265
683,"Weights_for_beta-sheet_at_the_window_position_of_-2_(Qian-Sejnowski,_1988)",31.423592
684,"Weights_for_alpha-helix_at_the_window_position_of_-4_(Qian-Sejnowski,_1988)",31.430006
685,"Weights_for_alpha-helix_at_the_window_position_of_6_(Qian-Sejnowski,_1988)",31.448519
686,"Weights_for_coil_at_the_window_position_of_6_(Qian-Sejnowski,_1988)",31.458036
687,Diff (V - I)-Contacts per-Atom.1,31.47033
688,"Correlation_coefficient_in_regression_analysis_(Prabhakaran-Ponnuswamy,_1982)",31.477257
689,FreeEnergy,31.485613
690,"Weights_for_alpha-helix_at_the_window_position_of_5_(Qian-Sejnowski,_1988)",31.491318
691,KDe.1,31.495007
692,Ce,31.51931
693,"Polarizability_parameter_(Charton-Charton,_1982)",31.523924
694,"Helix-coil_equilibrium_constant_(Finkelstein-Ptitsyn,_1978)",31.536558
695,"Electron-ion_interaction_potential_(Veljkovic_et_al.,_1985)",31.5397
696,"RF_value_in_high_salt_chromatography_(Weber-Lacey,_1978)",31.568235
697,Diff (V - I)-Contacts per-Atom,31.601662
698,"Relative_population_of_conformational_state_E_(Vasquez_et_al.,_1983)",31.606407
699,ex ¦µ,31.611975
700,"Helix_initiation_parameter_at_posision_i,i+1,i+2_(Finkelstein_et_al.,_1992)",31.62211
701,"Slope_in_regression_analysis_x_1.0E1_(Prabhakaran-Ponnuswamy,_1982)",31.62993
702,"Average_flexibility_indices_(Bhaskaran-Ponnuswamy,_1988)",31.642038
703,the relative frequencies of distributions of amino acid residues  involved in direct polar contacts(outside the interface),31.655378
704,"Hydrophobicity_factor_(Goldsack-Chalifoux,_1974)",31.66899
705,"Normalized_frequency_of_N-terminal_non_helical_region_(Chou-Fasman,_1979b)",31.678345
706,"Proportion_of_residues_100%_buried_(Chothia,_1976)",31.688234
707,"Propensity_to_be_buried_inside_(Wertz-Scheraga,_1978)",31.710148
708,"Weights_for_beta-sheet_at_the_window_position_of_-4_(Qian-Sejnowski,_1988)",31.718893
709,"Frequency_of_the_1st_residue_in_turn_(Chou-Fasman,_1978b)",31.759077
710,"Weights_for_alpha-helix_at_the_window_position_of_-6_(Qian-Sejnowski,_1988)",31.776253
711,"Long_range_non-bonded_energy_per_atom_(Oobatake-Ooi,_1977)",31.776382
712,"Weights_for_coil_at_the_window_position_of_-6_(Qian-Sejnowski,_1988)",31.784979
713,"Weights_for_beta-sheet_at_the_window_position_of_-3_(Qian-Sejnowski,_1988)",31.788746
714,"Weights_for_beta-sheet_at_the_window_position_of_-5_(Qian-Sejnowski,_1988)",31.817806
715,"Principal_component_III_(Sneath,_1966)",31.829134
716,"Fraction_of_site_occupied_by_water_(Krigbaum-Komoriya,_1979)",31.840145
717,"Frequency_of_the_4th_residue_in_turn_(Chou-Fasman,_1978b)",31.848864
718,Isoelectric,31.884535
719,"Hydrophilicity_value_(Hopp-Woods,_1982)",31.899643
720,the relative frequencies of distributions of amino acid residues  involved in direct polar contacts(at the interface),31.907925
721,"Relative_population_of_conformational_state_C_(Vasquez_et_al.,_1983)",31.928537
722,"Conformational_parameter_of_beta-structure_(Beghin-Dirkx,_1975)",31.950905
723,He,31.963488
724,"Principal_component_II_(Sneath,_1966)",31.984297
725,Free Energy of solution in water,32.06732
726,"Weights_for_beta-sheet_at_the_window_position_of_6_(Qian-Sejnowski,_1988)",32.193207
727,"Loss_of_Side_chain_hydropathy_by_helix_formation_(Roseman,_1988)",32.236553
728,Composition difference:A-B (%),32.274624
729,"Free_energy_change_of_epsilon(i)_to_alpha(Rh)_(Wertz-Scheraga,_1978)",32.347744
730,Steric parameter,32.36618
731,"Steric_parameter_(Charton,_1981)",32.398293
732,"Optimized_transfer_energy_parameter_(Oobatake_et_al.,_1985)",32.44092
733,Hydrophobicity scale,32.461407
734,"Weights_for_beta-sheet_at_the_window_position_of_-1_(Qian-Sejnowski,_1988)",32.917244
735,"Normalized_composition_from_fungi_and_plant_(Nakashima_et_al.,_1990)",32.932674
736,"Normalized_relative_frequency_of_extended_structure_(Isogai_et_al.,_1981)",33.07196
737,"Free_energy_change_of_alpha(Ri)_to_alpha(Rh)_(Wertz-Scheraga,_1978)",33.078728
738,"Normalized_composition_of_membrane_proteins_(Nakashima_et_al.,_1990)",33.104866
739,Average side chain orientation Angle,33.10498
